Chemical_Name,Formula,RT,RI,RI Ref,CAS_Number,group,Similarity_to_Previous,Similarity_to_Next,MS_Peaks,File
Pyruvic acid,,7.998,1053.548,,000127-17-3,4,0.0,0.19284317526303374,"[(43, 999.0), (57, 180.8223), (77, 71.1692), (89, 792.1394), (117, 374.3103), (149, 83.8947)]",G25-AllBestHits.cef
4-Methyl-2-oxopentanoic acid,,8.609,1088.764,,004502-00-5,4,0.19284317526303374,0.9955635800371314,"[(41, 339.0955), (43, 202.2263), (57, 909.8229), (69, 75.081), (85, 999.0), (86, 55.9457), (144, 71.5517)]",G18-AllBestHits.cef
Undecane,,8.809,1100.302,,000098-92-0,5,0.6789560375172553,0.0025036576234673813,"[(41, 219.7925), (42, 72.3477), (43, 608.4763), (55, 117.9183), (56, 159.6471), (57, 999.0), (58, 44.4361), (69, 76.5952), (70, 155.9287), (71, 599.9173), (72, 34.6567), (84, 107.9682), (85, 356.9869), (98, 89.022), (99, 84.0389), (112, 47.5967), (113, 63.4347), (156, 91.7321)]",G8-AllBestHits.cef
Succinic acid,,9.78,1158.524,,000110-15-6,9,0.10500116413645277,0.17015995257112826,"[(41, 10.2543), (42, 12.8959), (43, 12.3985), (45, 25.3786), (55, 276.6392), (56, 25.6106), (57, 26.3736), (59, 220.5652), (60, 5.8421), (72, 3.7137), (86, 13.4102), (87, 156.953), (88, 8.9953), (99, 5.6379), (114, 281.9731), (115, 999.0), (116, 60.1702), (117, 8.0142)]",G25-AllBestHits.cef
Lactic acid,,9.92,1166.946,,010326-41-7,10,0.17015995257112826,0.17437137154303728,"[(41, 14.7813), (42, 5.64), (43, 97.8403), (44, 13.5876), (45, 41.4384), (46, 1.372), (47, 6.8812), (53, 1.8109), (54, 2.0116), (55, 53.5185), (56, 17.928), (57, 7.0742), (59, 999.0), (60, 34.0238), (61, 4.3261), (74, 33.1148), (75, 13.2431), (77, 1.3967), (85, 6.3111), (87, 45.1566), (88, 2.5003), (91, 4.4137), (102, 13.4215), (103, 811.7715), (104, 37.1652), (105, 5.6972), (113, 23.091), (119, 4.1932), (130, 67.1949), (131, 72.2025), (132, 4.1557), (162, 1.4292)]",G25-AllBestHits.cef
Unknown 127(100) 159(49.8) 59(48.8),,11.419,1260.072,,000111-02-6,11,0.17437137154303728,0.0,"[(41, 120.5228), (54, 57.1247), (55, 140.4063), (56, 185.9956), (59, 258.4796), (68, 92.0431), (99, 94.9093), (100, 116.3635), (127, 999.0), (128, 133.9087), (159, 494.3009)]",G25-AllBestHits.cef
Nicotinic acid,,11.684,1276.841,,000059-67-6,12,0.0,0.6744700701504409,"[(50, 80.7724), (51, 198.4314), (52, 29.3752), (77, 50.9213), (78, 649.2805), (105, 46.5053), (106, 999.0), (107, 41.161), (109, 34.8842), (136, 364.2904), (137, 723.8617), (138, 64.4657)]",G25-AllBestHits.cef
d4-Alanine,,11.799,1284.179,,053795-92-9,13,0.6744700701504409,2.006523787823067e-05,"[(45, 14.1498), (46, 17.9219), (47, 24.7584), (48, 6.35), (60, 6.942), (62, 142.52), (63, 20.306), (72, 1.9965), (74, 85.1419), (75, 3.3773), (106, 999.0), (107, 48.3586), (108, 5.8026), (134, 6.7939), (147, 3.1886), (165, 6.3758)]",G8-AllBestHits.cef
Alanine,,11.836,1286.526,,000056-41-7,15,0.0,0.14488882214883014,"[(41, 8.0163), (42, 54.7221), (43, 29.7159), (44, 10.7375), (55, 9.2511), (56, 34.1984), (57, 7.5244), (58, 120.6348), (59, 147.1878), (69, 4.2099), (70, 81.293), (71, 4.2411), (87, 3.5822), (88, 2.0154), (100, 1.5286), (102, 999.0), (103, 57.2263), (104, 6.919), (129, 1.5246), (130, 7.9897), (146, 8.4872), (161, 7.6046)]",G10-AllBestHits.cef
"Benzeneacetic acid, methyl ester(NIST)",,12.033,1298.995,,000011-01-0,17,0.0,0.0,"[(65, 102.9316), (91, 999.0), (92, 78.8706), (150, 474.6368)]",G21-AllBestHits.cef
